id,news
2,لیست بازیکنان استقلال برای بازی با صنعت نفت اعلام شدبه گزارش خبرنگار مهر، تیم فوتبال استقلال از ساعت ۱۶ فردا دوشنبه در چارچوب مسابقات هفته هفتم لیگ برتر میهمان صنعت نفت آبادان است.آخرین تمرین استقلال پیش از این بازی امروز در تهران برگزار شد.بازیکنان استقلال بعد از گرم کردن و مرور کارهای تیمی به فوتبال درون تیمی مشغول شدند.آرمان رمضانی به دلیل سرماخوردگی در این جلسه تمرینی غایب بود.عارف غلامی و ابوالفضل جلالی مانند روز گذشته در این تمرین به صورت اختصاصی کار کردند.باشگاه استقلال همچنین لیست بازیکنان خود برای این مسابقه را اعلام کرد که نام «رودی ژستد» و « کوین یامگا» دو مهاجم خارجی هم در آن به چشم می خورد.
17,جدول لیگ برتر فوتبال| گل‌گهر، برنده واقعی تساوی دربی + نتایج و برنامه مسابقاتجدول لیگ برتر فوتبال| گل‌گهر، برنده واقعی تساوی دربی + نتایج و برنامه مسابقاتآبی‌های سیرجان به لطف غلبه بر سپاهان و تساوی دربی ۹۷، به صدر جدول لیگ برتر رسیدند.
32,3 عضو هیأت مدیره پرسپولیس صدری را مدیرعامل معرفی کردندبه گزارش خبرنگار ورزشی خبرگزاری فارس، پس از استعفای جعفر سمیعی از مدیرعاملی باشگاه پرسپولیس در روز 16 شهریور مجید صدری به عنوان سرپرست این باشگاه توسط اعضای هیأت مدیره سرخ‌پوشان معرفی شد. در شرایطی که حدود 9 روز تا پایان زمان سه ماهه سرپرستی صدری در باشگاه پرسپولیس باقیمانده سه عضو هیأت مدیره این باشگاه یعنی محمد فیاض، غلامعلی محمدعلیپور و محمداسد مسجدی بدون برگزاری جلسه با نامه‌ای به وزیر ورزش صدری را به عنوان مدیرعامل پرسپولیس معرفی کردند.البته طبق پیگیری خبرنگار ورزشی خبرگزاری فارس سه عضو هیأت مدیره این نامه را برای حمید سجادی ارسال کردند و صدری که اکنون به عنوان رئیس هیأت مدیره مشغول فعالیت است نقشی در این تصمیم‌گیری نداشته است. حال باید دید وزیر ورزش که پیش از این از اعضای هیأت مدیره پرسپولیس درخواست کرده بود گزینه خود را برای مدیرعاملی این باشگاه اعلام کنند چه زمانی تکلیف مدیریت پرسپولیس را مشخص می‌کند.
39,به گزارش خبرنگار مهر، تیم فوتبال پورتو شب گذشته در چارچوب مسابقات هفته دوازدهم لیگ پرتغال به مصاف تیم ویتوریا رفت و با نتیجه ۲ بر ۱ به پیروزی رسید. مهدی طارمی مهاجم ایرانی پورتو در این مسابقه در ترکیب اصلی تیمش حضور داشت و حتی برای پورتو گلزنی کرد اما این گل بعد از بازبینی توسط کمک داور ویدئویی، مردود اعلام شد.پورتو با این برد ۳۲ امتیازی شد تا به صدرنشینی در لیگ پرتغال بالاتر از اسپورتینگ و بنفیکا ادامه بدهد.اما در این مسابقه اتفاقی رخ داد که از چشم رسانه های پرتغال پنهان نماند. در یک صحنه، «زیدو» بازیکن پورتو به اینکه مهدی طارمی به او پاس نداده است، معترض شد.«سرجیو کونسیسائو» سرمربی پورتو در واکنش به این موضوع به شوخی و با لبخند گفت: طبیعی است. زیدو چند بار آنجا بود و می خواست گل بزند اما به او توپ ندادند.وی همچنین درباره اینکه طارمی در ۶ بازی گذشته موفق به گلزنی نشده است، تصریح کرد: او زمانی که باید شوت بزند، پاس می دهد درست مثل بازی قبل (در دیدار با لیورپول) و یا زمانی که باید پاس بدهد، شوت می زند.سرمربی پورتو افزود: طارمی زمانی که باید فداکار باشد، خودخواه است و زمانی که باید خودخواه باشد، فداکار و نوع دوست است! این بخشی از این لحظه است.کد خبر 5363263
42,بیژن ذوالفقار نسب در گفتگو با خبرنگار مهر، با اشاره به عدم انتخاب هیأت مدیره باشگاه پرسپولیس گفت: وقت بسیار زیادی برای این موضوع از سوی وزارت ورزش گذاشته شده است تا هیأت مدیره‌ای کارآمد برای باشگاه پرسپولیس نیز تعیین شود. قبول دارم این موضوع با تأخیر همراه شده است اما تمام تلاش ارکان اجرایی وزارت روی این موضوع است که هیأت مدیره کار آمد بتواند مشکلات را حل کند نه اینکه بخواهد بدهی سر سام آور به جای بگذارد.مشاور وزیر ورزش و جوانان با اشاره به حل نشدن مشکل پرداخت طلب گابریل کالدرون تاکید کرد: وقتی جزئیات قرارداد و رفتاری که با او شد را خواندم شوکه شدم. قراردادی که اینگونه پرسپولیس را به دردسر انداخت و برای حل آن هزاران راهکار در نظر گرفته شده است.وی بدون اشاره به اسم مدیرعامل پیشین پرسپولیس در دوران مربیگری کالدرون تاکید کرد: من واقعا نمی‌دانم چرا کسانی که خود را پرسپولیسی اصیل می‌دانند با رفتارهای مدیریتی خود کاری می‌کنند که هوادار حرص و جوش بخورد.ذوالفقار نسب راجع به حاشیه‌های به وجود آمده با توجه به صحبت‌های حمید سجادی وزیر ورزش نسبت به دیدگاه یحیی گل محمدی در خصوص انتخاب هیأت مدیره باشگاه تصریح کرد: من در جریان جزئیات این مصاحبه‌ها نیستم. تنها نکته‌ای که به آن اطمینان دارم احترام ویژه آقای سجادی وزیر ورزش به یحیی گل محمدی است.او ادامه داد: بدون شک انتخاب مدیریت برای کی مجموعه می‌تواند راهگشا باشد اما متأسفانه برخی‌ها می‌خواهند با استفاده از فضای مسموم نسبت به افراد موضع‌گیری کنند. قطعا عملکرد مربیان هر دو تیم استقلال و پرسپولیس برای هواداران دو تیم قابل احترام است و این مهم‌ترین موضوع برای هر دو باشگاه باید باشد. با این حال افرادی هستند که می‌خواهند مشکل تراشی کنند و واقعیت‌های موجود را بیان نکنند.ذوالفقار نسب در پایان خاطرنشان کرد: فوتبال باشگاهی ایران نشان داده است تفاوت فاحشی با تیم‌های درجه دوم و سوم آسیا دارد. موفقیت‌هایی که در سال‌های اخیر بخصوص پرسپولیس در رقابت‌های لیگ قهرمانان آسیا کسب شده است که نشان می‌دهد رسیدن به قله افتخارات در این بازی‌ها چندان دور از دسترس نیست.کد خبر 5362671
59,اظهارات جنجالی در لیگ برتر فوتسال/برای قهرمانی داوری هم لازم است!به گزارش خبرنگار مهر، در یکی از بازی های هفته دوازدهم لیگ برتر فوتسال امروز یکشنبه تیم سن ایچ ساوه در اصفهان برابر گیتی پسند با نتیجه ۳ به ۴ شکست خورد و از رسیدن به صدر جدول بازماند.این بازی به ویژه در دقایق پایانی نیمه دوم جنجالی شد و اعتراضات به قضاوت داور از سوی نیمکت نشینان تیم سن ایچ اوج گرفت؛ تا جایی که داور به دو عضو کادر فنی سن ایچ کارت قرمز داد و محسن حسن زاده سرمربی سن ایچ هم کارت زرد گرفت.حسن زاده در پایان این مسابقه، با انتقاد از عملکرد داور گفت: بازی خیلی خوب و پرهیجانی بود ولی داور یک مقدار زیبایی مسابقه را تحت تاثیر قرار داد. یکی از بازی هایی بود که سوت داور در مسابقه تاثیرگذار بود.سرمربی تیم سن ایچ افزود: در مصاحبه های قبل هم گفته بودم برای قهرمانی فاکتورهای زیادی لازم است از جمله این مسائل (داوری) که ما در آن ضعف داریم. با تمام تلاشی که بچه های ما می کنند، ولی اینطور حقمان ضایع می شود. این کار درست نیست و در بلندمدت فوتسال ما ضربه می خورد چرا که مسائل فنی و کیفیت بازیکنان از بین می رود.حسن زاده که به صورت زنده با شبکه اصفهان گفتگو می کرد، یادآور شد: در نیمه دوم سه بازیکن ما یعنی رستمی، علیرضا جوان و ندری مصدوم شدند و با ۶ نفر بازی کردیم. این باعث شد بازیکنانمان تمرکز نداشته باشند و خطا بدهند که داور هم سخت گیرانه عمل کرد.همچنین محمد کشاورز سرمربی تیم گیتی پسند بعد از این مسابقه گفت: بازی خیلی خوب و سراسر تاکتیکی بود. مستحق برد بودیم. در نیمه دوم خوب کارکردیم و به جز چهار پنج دقیقه آخر بازی که کمی عقب نشستیم، بر حریف مسلط بودیم.وی با بیان اینکه این کیفیت را از تیم سن ایچ توقع داشته است، افزود: سه پنالتی نقطه دوم از دست دادیم که به هر حال این اتفاقات پیش می آید. بازیکنان ما تلاششان را کردند.سرمربی تیم فوتسال گیتی پسند در پایان گفت: نیمه اول بازی پایاپایی بود. در نیمه دوم بازی را بهتر شروع کردیم و تیم حریف را تحت فشار گذاشتیم. مالکیت توپ به جز پنج دقیقه آخر برای ما بود. از کیفیت فنی خودمان راضی هستم. کسانی که بازی را تماشا کردند از آن لذت بردند.
62,تسنیم نوشت: امام جمعه مشهد با اشاره به حوادث اصفهان گفت: مردم اصفهان برای نان و آب مقابل انقلاب نمی‌ایستند اینها عده‌ای مزدور دشمن و عده‌ای هم جوان ناآگاه به تحریک دشمن بودند، اما خوشبختانه مسئله جمع شد.
63,باشگاه پرسپولیس برای غیبت یحیی گل‌محمدی در نشست خبری سند رو کرد.
64,سرمربی سابق تیم پرسپولیس تهران درمورد دیدار شهرآورد پایتخت صحبت کرد.
65,داوید دخیا پس از ارسال کرنر دچار مصدومیت شد، اما داور دیر متوجه این مشکل شد و زمانی سوت خود را به نشانه توقف بازی زد که توپ درون دروازه جای گرفته بود، به همین جهت پس از مشورت با تیم داوری گل به سود آرسنال به ثبت رسید.
